case_id,benchmark,coverage,repetition,method,forward_shift,penalty,validation_rmse,mean_full_density_l1,tail_error_pp,tail_absolute_error_pp
mixture_extended_r15,mixture,extended,15,fixed,0,1e-06,0.1658755561964096,0.053893732656748565,0.011774975374475617,0.011774975374475617
mixture_extended_r16,mixture,extended,16,selected,0,1e-07,0.11308400588412641,0.06453206536555879,0.08268889770520378,0.08268889770520378
mixture_extended_r16,mixture,extended,16,fixed,0,1e-06,0.15362773449580489,0.05286927893200909,0.04073152014525509,0.04073152014525509
mixture_extended_r17,mixture,extended,17,selected,0,1e-07,0.11592499271197924,0.061220345649381364,-0.003187339430250208,0.003187339430250208
mixture_extended_r17,mixture,extended,17,fixed,0,1e-06,0.16183461509512034,0.05234583424689341,-0.0011528298525648878,0.0011528298525648878
mixture_extended_r18,mixture,extended,18,selected,0,1e-07,0.110330923160754,0.06061329284336064,-0.07329309545725474,0.07329309545725474
mixture_extended_r18,mixture,extended,18,fixed,0,1e-06,0.16107998612203356,0.05089669947740558,-0.04491638727571138,0.04491638727571138
mixture_extended_r19,mixture,extended,19,selected,0,1e-07,0.1201606251311657,0.0643382919107178,-0.00856504141395955,0.00856504141395955
mixture_extended_r19,mixture,extended,19,fixed,0,1e-06,0.17213267638515248,0.052907550434962154,-0.04156575811121461,0.04156575811121461
mixture_original_r00,mixture,original,0,selected,0,1e-07,1.0380199957911238,0.06760329458158393,0.06108032536135868,0.06108032536135868
mixture_original_r00,mixture,original,0,fixed,0,1e-06,0.7791944820517679,0.055768174509740254,0.08678005094528707,0.08678005094528707
mixture_original_r01,mixture,original,1,selected,0,1e-07,1.2868647049272348,0.07465442220470703,0.18867124814625785,0.18867124814625785
mixture_original_r01,mixture,original,1,fixed,0,1e-06,0.8933574441239964,0.057965737187831656,0.31063052873531344,0.31063052873531344
mixture_original_r02,mixture,original,2,selected,0,1e-07,1.1569601987865739,0.07023380708544748,0.5913584558187082,0.5913584558187082
mixture_original_r02,mixture,original,2,fixed,0,1e-06,1.049105776805636,0.05588830277873458,0.6127929404935105,0.6127929404935105
mixture_original_r03,mixture,original,3,selected,0,1e-07,1.2558875362621202,0.06877763100702543,0.5806006308103987,0.5806006308103987
mixture_original_r03,mixture,original,3,fixed,0,1e-06,1.318326105696916,0.059125774574939706,0.6628812739753185,0.6628812739753185
mixture_original_r04,mixture,original,4,selected,0,1e-07,1.0689208648595103,0.07604909110032551,0.13005286245452408,0.13005286245452408
mixture_original_r04,mixture,original,4,fixed,0,1e-06,0.6876968164487559,0.05884892451819546,0.08610011423310394,0.08610011423310394
mixture_original_r05,mixture,original,5,selected,0,1e-07,1.0297045037414738,0.07249674620745558,0.05462046906840375,0.05462046906840375
mixture_original_r05,mixture,original,5,fixed,0,1e-06,0.7577747115624801,0.059519325949708476,0.0756458229159972,0.0756458229159972
mixture_original_r06,mixture,original,6,selected,0,1e-07,0.9239353341441074,0.0734574080778391,0.04466511901849192,0.04466511901849192
mixture_original_r06,mixture,original,6,fixed,0,1e-06,0.7842760998011471,0.058671178763689366,0.07737630274736954,0.07737630274736954
mixture_original_r07,mixture,original,7,selected,0,1e-07,1.2122405280235506,0.06279759124883388,0.5498984281219964,0.5498984281219964
mixture_original_r07,mixture,original,7,fixed,0,1e-06,1.2738876337231086,0.05703876165154073,0.7230917200920716,0.7230917200920716
