case_id,benchmark,coverage,amplitude,repetition,days,validation_rmse,full_density_l1,below_0_8_forward,above_1_2_forward,above_1_8_forward,normalised_variance,known_below_0_8_forward,known_above_1_2_forward,known_above_1_8_forward,known_normalised_variance
lognormal_central_a0_clean,lognormal,central,0.0,-1,30,1.471280004098707,0.06560539800725806,0.00042361047622758665,0.000544218969795256,0.000544218826882598,0.00401005267815302,5.599278553137975e-05,0.000667319734815488,4.3413888720305095e-25,0.003293081551435913
lognormal_central_a0_clean,lognormal,central,0.0,-1,60,1.2983278656301063,0.04742056570384896,0.001623061826521133,0.00684979575096071,0.0005442187345687682,0.007242834414995514,0.0033509144750588212,0.011040505627346847,1.558412694846654e-13,0.006597007488976235
lognormal_central_a0_clean,lognormal,central,0.0,-1,90,1.1259342185848218,0.039026212177846714,0.011678144165303843,0.027476441619884166,0.0005442188541987113,0.010470310429140817,0.014002304545672748,0.02968189167680078,1.1994204585906341e-09,0.00991181352406878
lognormal_central_a0_clean,lognormal,central,0.0,-1,120,0.9860592706683083,0.03398593210507881,0.028050241806370134,0.04914755242861717,0.0005442199432869977,0.013722082056173646,0.029478399865470323,0.04975679286695655,1.0920295409094793e-07,0.013237535485762078
lognormal_central_a0_clean,lognormal,central,0.0,-1,180,0.760311132144686,0.028084079620616546,0.06455547295883457,0.08558577758583374,0.0005442672908250986,0.020282351916284025,0.06443688312291969,0.0856005317371566,1.0439958089421145e-05,0.019921871095473474
lognormal_central_a0_clean,lognormal,central,0.0,-1,240,0.5974025733416667,0.024637190063200892,0.09840408271436096,0.11401342112438598,0.000562502458116261,0.026915656599871607,0.0976881006618513,0.11404335171742785,0.00010551123187570538,0.026650303317260964
lognormal_central_a0_clean,lognormal,central,0.0,-1,300,0.5011656869063849,0.022546085306463893,0.12801996133401378,0.1364743551956954,0.000647155989071698,0.03362068315789979,0.12714186569237895,0.1364984959830982,0.0004305330317962511,0.03342312305680466
lognormal_central_a0_clean,lognormal,central,0.0,-1,365,0.41769259588924457,0.02094487198874056,0.1557415931161434,0.1558426602856879,0.0010567473814574904,0.040943457603293876,0.15488190493561182,0.15586281131519453,0.0011870869673561704,0.04081077419238823
lognormal_central_a1_r00,lognormal,central,0.1,0,30,1.4282033999219803,0.06546036356082999,0.00041023668052652995,0.0005312810865756836,0.0005312810051067609,0.0039898302619565396,5.599278553137975e-05,0.000667319734815488,4.3413888720305095e-25,0.003293081551435913
lognormal_central_a1_r00,lognormal,central,0.1,0,60,1.2233685085830592,0.047242963885942665,0.0016012435980991197,0.006882982231886231,0.0005312808830814986,0.007204195549155745,0.0033509144750588212,0.011040505627346847,1.558412694846654e-13,0.006597007488976235
lognormal_central_a1_r00,lognormal,central,0.1,0,90,1.0617426840813684,0.03897992733452123,0.012081780332224788,0.02772669310189376,0.0005312807036637804,0.010442357242137046,0.014002304545672748,0.02968189167680078,1.1994204585906341e-09,0.00991181352406878
lognormal_central_a1_r00,lognormal,central,0.1,0,120,1.170888080235117,0.035342493919005284,0.028099245262168285,0.04858260789024354,0.0005406127041641635,0.013745656394320793,0.029478399865470323,0.04975679286695655,1.0920295409094793e-07,0.013237535485762078
lognormal_central_a1_r00,lognormal,central,0.1,0,180,0.8307905833812276,0.027863506504731093,0.06469694218940586,0.08563452310735452,0.0005413453719695152,0.020295944261876864,0.06443688312291969,0.0856005317371566,1.0439958089421145e-05,0.019921871095473474
lognormal_central_a1_r00,lognormal,central,0.1,0,240,0.5962272916037913,0.025617167664557818,0.09882819744558496,0.1140759816277753,0.0005633289324369939,0.026880418667458494,0.0976881006618513,0.11404335171742785,0.00010551123187570538,0.026650303317260964
lognormal_central_a1_r00,lognormal,central,0.1,0,300,0.4182696826741516,0.024468976318374004,0.12844016762771507,0.13649981945751694,0.0005632756994349424,0.033533421836289934,0.12714186569237895,0.1364984959830982,0.0004305330317962511,0.03342312305680466
lognormal_central_a1_r00,lognormal,central,0.1,0,365,1.07128177067658,0.026554254626141565,0.15660555288455352,0.15614271058118168,0.001747419408869578,0.04110512586041537,0.15488190493561182,0.15586281131519453,0.0011870869673561704,0.04081077419238823
lognormal_central_a1_r01,lognormal,central,0.1,1,30,1.4674270927293467,0.06578783931674044,0.00042894501337619985,0.0005415168782025772,0.0005415168520482035,0.004010555798289017,5.599278553137975e-05,0.000667319734815488,4.3413888720305095e-25,0.003293081551435913
lognormal_central_a1_r01,lognormal,central,0.1,1,60,1.2952920627189546,0.04735689467319929,0.0016108308279043897,0.0069252016463010385,0.000541516826621842,0.00724170251907541,0.0033509144750588212,0.011040505627346847,1.558412694846654e-13,0.006597007488976235
lognormal_central_a1_r01,lognormal,central,0.1,1,90,1.2626618610423095,0.04050136563062832,0.011306521704428436,0.027853503950830534,0.00054151680836223,0.010532472398677717,0.014002304545672748,0.02968189167680078,1.1994204585906341e-09,0.00991181352406878
lognormal_central_a1_r01,lognormal,central,0.1,1,120,1.1112310831571086,0.03477589487459089,0.02739038770453271,0.049267245025458456,0.0005415168249146779,0.01378032331884671,0.029478399865470323,0.04975679286695655,1.0920295409094793e-07,0.013237535485762078
lognormal_central_a1_r01,lognormal,central,0.1,1,180,1.3105899972944688,0.030908843973953812,0.06389847454868094,0.08559248440667472,0.0006948066342547674,0.020470276467631443,0.06443688312291969,0.0856005317371566,1.0439958089421145e-05,0.019921871095473474
lognormal_central_a1_r01,lognormal,central,0.1,1,240,0.8976447614857267,0.02671290833775372,0.09814829524811686,0.11421975973899999,0.0007773472126958265,0.02704382157484253,0.0976881006618513,0.11404335171742785,0.00010551123187570538,0.026650303317260964
lognormal_central_a1_r01,lognormal,central,0.1,1,300,1.426955143739549,0.02641394612286798,0.1270119572940738,0.13632202394883292,0.0016445443300467878,0.03399078497717234,0.12714186569237895,0.1364984959830982,0.0004305330317962511,0.03342312305680466
lognormal_central_a1_r01,lognormal,central,0.1,1,365,1.259971691124648,0.02627132648809541,0.155695672126597,0.155888045570023,0.0019710506142351127,0.041250208676319344,0.15488190493561182,0.15586281131519453,0.0011870869673561704,0.04081077419238823
lognormal_central_a1_r02,lognormal,central,0.1,2,30,1.5283496977756965,0.06587698830434494,0.00044920055384488073,0.0005613487693451156,0.0005613486977580435,0.0040348695318404015,5.599278553137975e-05,0.000667319734815488,4.3413888720305095e-25,0.003293081551435913
lognormal_central_a1_r02,lognormal,central,0.1,2,60,1.3003037074290225,0.04708710238873831,0.0015590000806560591,0.006943316768975908,0.0005613493212624047,0.007231115157538381,0.0033509144750588212,0.011040505627346847,1.558412694846654e-13,0.006597007488976235
lognormal_central_a1_r02,lognormal,central,0.1,2,90,1.1269201209551492,0.03892275687069492,0.011874947618003284,0.02728754232158252,0.0005613495849069044,0.01046109127629613,0.014002304545672748,0.02968189167680078,1.1994204585906341e-09,0.00991181352406878
lognormal_central_a1_r02,lognormal,central,0.1,2,120,0.9786015691964622,0.034338258321294335,0.028310702933435634,0.049191196374911456,0.0005613497603064743,0.013711034967061941,0.029478399865470323,0.04975679286695655,1.0920295409094793e-07,0.013237535485762078
lognormal_central_a1_r02,lognormal,central,0.1,2,180,0.7197254568778183,0.02977237575393206,0.06470670187861575,0.08555748104871506,0.000561349854064975,0.02024760204727749,0.06443688312291969,0.0856005317371566,1.0439958089421145e-05,0.019921871095473474
lognormal_central_a1_r02,lognormal,central,0.1,2,240,0.5438303562981146,0.026420090132701166,0.09889997494902143,0.1140748163671243,0.0005613516778432686,0.026872273606997732,0.0976881006618513,0.11404335171742785,0.00010551123187570538,0.026650303317260964
lognormal_central_a1_r02,lognormal,central,0.1,2,300,0.42588004015137293,0.023424624836575605,0.12827514430974757,0.13626010471872618,0.0005613600420873863,0.033549900839388025,0.12714186569237895,0.1364984959830982,0.0004305330317962511,0.03342312305680466
lognormal_central_a1_r02,lognormal,central,0.1,2,365,0.36375856294842374,0.024370759083581706,0.15504161026378174,0.15588179167038055,0.0005665797150941163,0.04083104440257079,0.15488190493561182,0.15586281131519453,0.0011870869673561704,0.04081077419238823
lognormal_central_a1_r03,lognormal,central,0.1,3,30,1.529862960266579,0.06591670948443565,0.0004062474114277044,0.0005680358084023603,0.0005680356620613789,0.004029668734848224,5.599278553137975e-05,0.000667319734815488,4.3413888720305095e-25,0.003293081551435913
lognormal_central_a1_r03,lognormal,central,0.1,3,60,1.339237654492951,0.04717582983521792,0.0015995782478817808,0.006862234559045549,0.0005680367730945013,0.007254899279050209,0.0033509144750588212,0.011040505627346847,1.558412694846654e-13,0.006597007488976235
lognormal_central_a1_r03,lognormal,central,0.1,3,90,1.15500574748143,0.03926827017806701,0.011725671400376728,0.027310949778687053,0.0005680373577466407,0.010478100321197559,0.014002304545672748,0.02968189167680078,1.1994204585906341e-09,0.00991181352406878
lognormal_central_a1_r03,lognormal,central,0.1,3,120,1.0142506093027464,0.03425797665575303,0.02810416079358516,0.04910852973877702,0.0005680395451404989,0.013730741898135168,0.029478399865470323,0.04975679286695655,1.0920295409094793e-07,0.013237535485762078
lognormal_central_a1_r03,lognormal,central,0.1,3,180,1.2610046725143889,0.030454048794306784,0.06463596902302268,0.08551676388392207,0.0006142102972913454,0.020409827638065536,0.06443688312291969,0.0856005317371566,1.0439958089421145e-05,0.019921871095473474
lognormal_central_a1_r03,lognormal,central,0.1,3,240,0.8122200293163544,0.026071742582488847,0.09862587616955198,0.11396803006706915,0.0008220583104608721,0.026964258908480643,0.0976881006618513,0.11404335171742785,0.00010551123187570538,0.026650303317260964
lognormal_central_a1_r03,lognormal,central,0.1,3,300,0.6144757817836953,0.02240110748518238,0.12763507088757603,0.13642987001050896,0.0007564667622362049,0.033669306242604335,0.12714186569237895,0.1364984959830982,0.0004305330317962511,0.03342312305680466
