horizon_days,left_edge,right_edge,probability_mass
6.000000000000000000e+01,1.249122847957174599e+04,1.258661969384500298e+04,0.000000000000000000e+00
6.000000000000000000e+01,1.258661969384500298e+04,1.268201090811825998e+04,0.000000000000000000e+00
6.000000000000000000e+01,1.268201090811825998e+04,1.277740212239151697e+04,0.000000000000000000e+00
6.000000000000000000e+01,1.277740212239151697e+04,1.287279333666477396e+04,0.000000000000000000e+00
6.000000000000000000e+01,1.287279333666477396e+04,1.296818455093803095e+04,0.000000000000000000e+00
6.000000000000000000e+01,1.296818455093803095e+04,1.306357576521128613e+04,0.000000000000000000e+00
6.000000000000000000e+01,1.306357576521128613e+04,1.315896697948454312e+04,2.127786092952145921e-18
6.000000000000000000e+01,1.315896697948454312e+04,1.325435819375780011e+04,6.983573296876122497e-18
9.000000000000000000e+01,1.811130160454894167e+03,1.906717585590013641e+03,6.112632920290112892e-05
9.000000000000000000e+01,1.906717585590013641e+03,2.002305010725133116e+03,4.090689970976637608e-05
9.000000000000000000e+01,2.002305010725133116e+03,2.097892435860252590e+03,2.259295740913923222e-05
9.000000000000000000e+01,2.097892435860252590e+03,2.193479860995371837e+03,8.802964668885257413e-06
9.000000000000000000e+01,2.193479860995371837e+03,2.289067286130491084e+03,1.435152101131201626e-06
9.000000000000000000e+01,2.289067286130491084e+03,2.384654711265610786e+03,2.130866295474045454e-17
9.000000000000000000e+01,2.384654711265610786e+03,2.480242136400730033e+03,2.516341617158907477e-17
9.000000000000000000e+01,2.480242136400730033e+03,2.575829561535849734e+03,8.158170509027479225e-18
9.000000000000000000e+01,2.575829561535849734e+03,2.671416986670968981e+03,0.000000000000000000e+00
9.000000000000000000e+01,2.671416986670968981e+03,2.767004411806088683e+03,0.000000000000000000e+00
9.000000000000000000e+01,2.767004411806088683e+03,2.862591836941207930e+03,1.107369989701168033e-17
9.000000000000000000e+01,2.862591836941207930e+03,2.958179262076327177e+03,1.946213879159069731e-17
9.000000000000000000e+01,2.958179262076327177e+03,3.053766687211446879e+03,1.328122480886395162e-19
9.000000000000000000e+01,3.053766687211446879e+03,3.149354112346566126e+03,3.925130575023225631e-18
9.000000000000000000e+01,3.149354112346566126e+03,3.244941537481685373e+03,4.008062443201204477e-18
9.000000000000000000e+01,3.244941537481685373e+03,3.340528962616805075e+03,0.000000000000000000e+00
9.000000000000000000e+01,3.340528962616805075e+03,3.436116387751924776e+03,2.239955802079947208e-19
9.000000000000000000e+01,3.436116387751924776e+03,3.531703812887044023e+03,0.000000000000000000e+00
9.000000000000000000e+01,3.531703812887044023e+03,3.627291238022163270e+03,0.000000000000000000e+00
9.000000000000000000e+01,3.627291238022163270e+03,3.722878663157282972e+03,7.232560997028174743e-20
9.000000000000000000e+01,3.722878663157282972e+03,3.818466088292402219e+03,3.629313899916896210e-18
9.000000000000000000e+01,3.818466088292402219e+03,3.914053513427521466e+03,0.000000000000000000e+00
9.000000000000000000e+01,3.914053513427521466e+03,4.009640938562641168e+03,0.000000000000000000e+00
9.000000000000000000e+01,4.009640938562641168e+03,4.105228363697760869e+03,1.923755103195187655e-18
9.000000000000000000e+01,4.105228363697760869e+03,4.200815788832879662e+03,0.000000000000000000e+00
9.000000000000000000e+01,4.200815788832879662e+03,4.296403213967999363e+03,0.000000000000000000e+00
9.000000000000000000e+01,4.296403213967999363e+03,4.391990639103119065e+03,9.613674647590904245e-05
9.000000000000000000e+01,4.391990639103119065e+03,4.487578064238237857e+03,4.758667420976229090e-04
9.000000000000000000e+01,4.487578064238237857e+03,4.583165489373357559e+03,1.290809103268441942e-03
9.000000000000000000e+01,4.583165489373357559e+03,4.678752914508477261e+03,2.655214104967066214e-03
9.000000000000000000e+01,4.678752914508477261e+03,4.774340339643596963e+03,4.644658894537057568e-03
9.000000000000000000e+01,4.774340339643596963e+03,4.869927764778715755e+03,7.294420683060979550e-03
9.000000000000000000e+01,4.869927764778715755e+03,4.965515189913835457e+03,1.067897047222943555e-02
9.000000000000000000e+01,4.965515189913835457e+03,5.061102615048955158e+03,1.491530954010750545e-02
9.000000000000000000e+01,5.061102615048955158e+03,5.156690040184073951e+03,2.005621807937129492e-02
9.000000000000000000e+01,5.156690040184073951e+03,5.252277465319193652e+03,2.602158177537206712e-02
9.000000000000000000e+01,5.252277465319193652e+03,5.347864890454313354e+03,3.261076684960108329e-02
9.000000000000000000e+01,5.347864890454313354e+03,5.443452315589432146e+03,3.948618121356226723e-02
9.000000000000000000e+01,5.443452315589432146e+03,5.539039740724551848e+03,4.624126469685670149e-02
9.000000000000000000e+01,5.539039740724551848e+03,5.634627165859671550e+03,5.245221420664592654e-02
9.000000000000000000e+01,5.634627165859671550e+03,5.730214590994791251e+03,5.772717665216157978e-02
9.000000000000000000e+01,5.730214590994791251e+03,5.825802016129910044e+03,6.163304497113838293e-02
9.000000000000000000e+01,5.825802016129910044e+03,5.921389441265029745e+03,6.384845259974331055e-02
9.000000000000000000e+01,5.921389441265029745e+03,6.016976866400149447e+03,6.430799786786618732e-02
9.000000000000000000e+01,6.016976866400149447e+03,6.112564291535269149e+03,6.310870066819930513e-02
9.000000000000000000e+01,6.112564291535269149e+03,6.208151716670387941e+03,6.038633204713397817e-02
9.000000000000000000e+01,6.208151716670387941e+03,6.303739141805507643e+03,5.635679937753558522e-02
9.000000000000000000e+01,6.303739141805507643e+03,6.399326566940627345e+03,5.138336145503766272e-02
